id,ASIN,âÊëúÉfÅ[É^ñº,URLñº
1,B073JMV316,B073JMV316_1.jpg,https://images-na.ssl-images-amazon.com/images/I/61dPHZOAa4L._AC_SX425_.jpg
2,B07HCM2VGS,B07HCM2VGS_1.jpg,https://images-na.ssl-images-amazon.com/images/I/61hytsjzoxL._AC_SX425_.jpg
3,B077B919QM,B077B919QM_1.jpg,https://images-na.ssl-images-amazon.com/images/I/512WYHMzXoL._AC_SX425_.jpg
4,B07VJZ6TZH,B07VJZ6TZH_1.jpg,https://images-na.ssl-images-amazon.com/images/I/71RbD%2BU2EbL._AC_SX425_.jpg
5,B0794TLZT3,B0794TLZT3_1.jpg,https://images-na.ssl-images-amazon.com/images/I/618UGii90dL._AC_SY355_.jpg
